Verified,Review
unverified,paid seat b flight heathrow boston paying premium economy seat upon arrival airport ticket agent said healthy enough sit purchased seat due old presume since reason find could sit exit seating healthy enough walk mile day adequate upper body strength attempting convince got u stuck cattle call seat rear aircraft second floor middle two seat row told money would refunded immediately inconvenience several week recontacted ba said complaint went wrong section forwarding next section week later still heard update except computer response stating refund returned week keep waiting plane ground difficulty needed quick repair completed minute later boarded flight captain came said look like forgot order ground crew back u terminal needed wait another minute able make lost time air landed hour later scheduled wreaking havoc next flight
unverified,flight want bad although inflight entertainment want great screen oldfashioned hard operate dark touch screen want working time though remote cabin crew slamming air larder oven draw apart cabin crew nice food good seat comfortable
verified,decided treat teenage daughter world traveller plus return leg canada holiday paying hundred pound extra end spending nine half hour trapped broken seat staring blank screen entertainment system failed work hadnt bought book uploaded film assumed would enjoying entertainment ba promised decided lie back get rest instead discover leg rest seat didnt work flight attendant able prop manually shoving thing underneath unfortunately made matter worse became firmly stuck position forcing body awkward position descent keep setback upright leaving back pain lasted three day bad lower back early experience asked moved economy could sit normally watch film flight full space apologetic flight attendant assured would receive compensation assumed meant airline would least upgrade u next time flew ba since unable enjoy advertised benefit world traveller plus two u one suitcase hadnt made use extra baggage allowance ba actual compensation offer worth avion point wrote back since ba doesnt allow direct telephone contact complaint department explaining firmly politely fair acceptable given hundred extra pound id paid added extra airline failed deliver ghosted experience cautionary tale british airway customer support go plan may well pleasant world traveller plus experience anything go wrong support staff wash hand money wasted unless your prepared gamble would advise either stick economyworld traveller since your really paying fly b manage fly another airline could end like throwing away extra money experience fell far standard economy class flight canada would recommend airline air canada turned uncertainty bovid pandemic exceptional customer service fast nonsense refund cost bit life returned normal postcovid started flying ba believing high standard customer service longer important see mistake false economy one ended costing hundred wasted pound
unverified,impressed efficient boarding relatively compared air canada comfortable seat quality food drink snack frequently offered overall fuss bother experience
unverified,flight scheduled left hour minute alter due late arrival incoming aircraft naples result missed connection istanbul dubai nothing unusual issue acknowledged captain plane late since morning flight rome rolling effect evening case whey ba contact passenger could made arrangement fly early istanbul miss connection resulting charge long delay ba certainly lot staff could informed using email text obviously passenger utility ba ticket purchased trust ba travel poor handling simple matter
verified,flying ba year american airline of gave ba gold member ba year thing noticed last year ba flight attendant getting lazier complacent cleaning bathroom serving meal food ba deteriorated point able eat garbage give gold status almost meaningless big scheme thing never able upgrade business first using avion point accumulated transcend flight fly ba partner american airlines easily get europe switched back a of program already much better ba used splendid airline another poor airline european market
verified,arriving mexico airport told flight delayed aircraft broken replacement aircraft lar six hour late eventually managed check told contrary ba website could access hour grand lounge elite instead would use american airline admiral club lounge would close three hour flight left would use restaurant given food voucher two hour flight due leave informed aircraft diverted cancun volcanic ash cloud mexico city although appear affecting flight airport including europe eventually arranged taxi take u hotel arrived assured would ba flight leaving time following day contact local employee stayed hotel said organize transport refused give u contact detail eventually need transport following day disappeared night sent email telling u booked onto air canada flight leaving would impossible short notice without canadian era authorization spent two hour trying make contact ba mexico number work eventually put aeromexico flight economy told u check soon could meant pay extra seat later long call told could upgraded business aeromexico despite told earlier availability ba informed u already checked suggested could moved took three call aeromexico sort totally understand aircraft break onus airline rearrange passenger lucky took trouble making call up others disabled lady told nothing left
verified,flown british airway many year still regularly one last flight past summer paris boston british booked connecting flight paris london gave maximum minute connect london london heathrow massive airport going terminal terminal could take minute deplane including actual time deplane seated back line passport control security terminal already one pressed time flight paris london day tardy minute tardy day exact ba flight fact routinely tardy dont bother one flight connection assisted calling new gate let know previous flight delayed rushing gate minute connecting flight depart ran like fool minute carryon arriving gate minute flight depart greeted plane agent said since one knew false plane left without early gaining minute important passenger inconvenienced delay made minute trek back flight connection knowing would rebook following day going miss wedding destined attend boston sent prepaid hilton hotel room night told would pay pound way taxi take gave pamphlet instruction reimbursement early july took month complaint british center effective dispute resolution reimbursed equivalent apology recognition even free drink coupon next flight wont ever take british like bad insurance claim british kept denying claim expecting would go away well going away i taking using another airline future travel
unverified,bought ticket genevalondon flight got airport told airline oversold ticket flight passenger earlier cancelled flight given seat flight explanation allowed
verified,appalling service failing defective fleet aircraft flown four time route return significant delay hour every time ba boarded pm october flight cancelled technical reason six hour return custom recover bag ba management johannesburg night four hour organize hotel transfer queue people check room eventually accessed attempt reschedule assist pilot trying announce process
verified,british airway charge pleasure choosing seat put back club turned advantage meant could get seat without climb anybody seat clean later discovered foldout section would stay foot dangled edge bed extended boarding complete told departure delayed ba loaded cargo told delayed fault one fuel pump took five hour problem corrected pilot later informed u installed new pump initially thought software issue time served meal told alcohol permitted curious given already served predeparture drink cabin crew male apparently based mexico turned pleasant surprise given spoke incredibly positive friendly seemed embarrassed happening knew oldstyle seat less acceptable ba petty penny pinching competition smallest hot towel ba would winner food sounded nice looked impressive seemed totally tasteless
verified,wrong guy people pay lot money business class ticket sit squeezed seat legroom nothing clean overhead locker empty want put bag seat room leg anymore serve food rubbish staff demonstrates british arrogance manner decent polite service anymore really difference easyjet european route
verified,booked two business class seat british airway july flight september told september heathrow airport flight cancelled could one business seat another flight different airport one british airway contacted u apologize offer refund business class seat lost filed complaint british airway asked reimbursement september heard word october worst flight experience ever terrible customer service zero communication customer cannot even find phone number call british airway website
verified,give flown many airline recent experience british airway left much desired inflight entertainment underwhelming disappointed lack basic amenity comfort kit essential like eye mask positive aspect slightly generous legroom overall found service far expectation impressed
verified,recently flew new york back london ba want first long haul however first time travelling world traveler plus boarded aircraft time stress free first impression good cabin clean leg room good recline seat generous combined footrest quite comfortable waiting seat decent quality cushion blanket well amenity kit amenity kit contained good headphone sock eye mask lip balm pen toothbrush toothpaste boarding complete offered are departure drink orange juice water champagne option crew friendly professional upmost ensure everyone happy air offered hot towel another round drink time lot selection drink offered several time throughout flight menu also handed long take starter quinol main choice chicken meatball pasta vegetarian mushroom dish chose meatball really good real complaint flight people getting dish wished sat last row premium economy cabin time meal service got u chicken dish gone moral story sit front cabin likely get preferred meal option meal chose watch show well sized entertainment screen ba definitely best inflight entertainment finally hour landing served breakfast snack come form warm egg swiss cheese bagel edible also little soggy didnt really taste much certainly wont craving one anytime soon touched heathrow time disembarking aircraft picking bag everything efficient way time
unverified,ba business class europe seat economy simply empty seat next many true benefit flight meal lounge access priority security et problem flight small child aged around five sang incessantly extremely loud voice throughout flight aware difficulty flying child know difficult keep entertained et patient person headphone parent child chose despite polite request try quieten child point one expectation crew step singling loudly disrupting passenger would quite rightly ask desist speak parent child disrupting rest sleep passenger instead served meal crew retreated behind curtain left passenger stew simply good enough wife forget
verified,flight started seattle a heading lisbon portugal hour flight hour layover boarded flight ba lisbon heading runway plane stopped pilot said small mechanical issue mechanic route hour tarmac flight crew announce going offer complimentary water really another half hour go say flight cancelled reason time wait bus remove passenger plane announce staff member back gate help meal voucher taxi ride hotel accommodation get bus line passenger trying figure whats happening staff hand wife meal voucher say go upstairs someone help issue go upstairs nobody know one staff member hand u paper hotel room tell u get luggage keep receipt taxi reimbursed nothing else asked another flight said contact asap contact walked away grabbed luggage headed taxi line driven hotel receive email flight next day different airline iberian assigned seat together get hotel barely fit shower double bed i la wife crazy get little sleep nothing eat another taxi ride airport tried use meal voucher good prior day went first customer service line didnt authorization issue new voucher finally third customer service line someone issue u new voucher finally made destination day half later still pay room didnt even use cancellation ba refuse reimburse u first night missed filed claim ba nothing far never fly ba
verified,british airway flight edinburgh got delayed h min connecting flight part ticket literally run next connecting flight british airway lar delhi bonus trouble surprise landed delhi got know luggage missing assured luggage delivered address today th oct received yet shown luggage bi air port apply leave collect detail point contact enter air port without ticket sort trouble face
verified,british airway world traveller plus premium economy product need improvement justify high cost economy yes seat leg room far superior flight crew excellent however lunchdinner average wine selection poor like airline ba provides revolting snack prior landing snack served economy choice entertainment also requires improvement ce sean doyle serious elevating ba one one world best airline work needed provide better customer experience
verified,ba barely step low cost airline try dime nickel everywhere possible found cannot select seat check anymore baggage next time go low cost carrier since virtually difference anymore
unverified,happy flight crew hadnt plane year stressed made comfortable want say thank flight crew helping relax go back france i going british airway
verified,horrible service boarding landing flew london marrakech disappointed arrangement boarding food horrible staff arrogant seat super uncomfortable min flight business class today taking flight marrakech london recommend
unverified,wife disappointed flying british airway flight cancelled airline flying addition seat changed multiple time without explanation people working rude customer oriented
unverified,flew ba heathrow berlin one way connection experience ba ground staff heathrow good friendly helpful check baggage drop crew flight also good captain provided general information welcoming suitable casual efficient way flight steward also friendly handed water small snack chocolate bar unexpected he min flight seating typical class aircraft ticket cleanliness optimal could improved memory slightly delayed departure heathrow slightly reduced arrival berlin issue u berlin destination connecting concern baggage arrived safely berlin understand ba negative review customer experience occasion positive would happily recommend use ba
unverified,absolutely disgusted ba flight cancelled may ba even though flight still departed connecting flight manchester heathrow cancelled due weather could get compensation flight turn cannot get compensation flight seattle either even though ba actually cancelled u never fly
unverified,took trip nashville wife leisure break arrived directed club world check zone left terminal zone seemed way small number passenger check process painfully slow queue non premium cabin seemed much effectively managed bite eat departure lounge plenty food option even though busy flight departed furthest away satellite gate c annex boarding managed efficiently seat club suite section lot space comfortable crew average friendly attentive chose salmon dish glad run row entertainment little disappointing term latest release movie meal prior landing taste skipped flight landed right schedule complaint basis
unverified,nightmare journey courtesy british airway worst flight experience year flying booked ba scheduled depart heathrow sept boarded he late despite plane gate wait crew arrive approximately he flight pilot advised weather radar want working would returning heathrow circled approve min landing member staff present offer advice alternative flight customer service desk stated would deal await email email finally arrived hour husband fortunate enough allocated seat flight time boarded approve he late plane gate wait crew result around reached venice long wait taxi meant didnt reach hotel beyond mestee were since learnt ba cancelled hundred flight past several day claiming bad weather yet according flightradar airline flying heathrow cancelled flight
verified,absolutely atrocious lhrordlhr roundtrip british airway truly disgrace national airline eight seat first class would think could provide genuine white glove experience instead crew first class way inattentive illmannered badly trained one get better service mcdonalds ba new first suite small uncomfortable cubicle mile behind premium class airline movie selection poor wife work properly amenity kit tiny cheap airplane dirty clearly cleaned haste food served first class grim especially bad order sector crew sector spent time galley disappeared meal service overall british airway continues decline one wouldnt fly alternative add insult injury ba fly chicago international terminal decided order return fly american airline terminal including use a dreadful flagship lounge course nothing change government given ba virtual monopoly ba continue mediocre leadership care cost share portfolio
verified,someone fly relentlessly british airway business pleasure generally routing gold frequent flier were come accept shocking food service exorbitant price outdated plane get plane primary role crew safety however said crew look like fallen bed cannot dress properly case men find razor question ability react emergency situation enough said
verified,flew british airway club europe saturday st august poor lounge berlin brandenburg airport emailed say flight delayed explanation announcement made staff lounge told delay airport info screen updated email said keep checking online update flight took minute late explanation late arrival plane departure rushed service arrival lar quickly passport control almost hour wait baggage arrive carousel announcement due delay meaning arriving home hour later arriving
verified,straightforward check new site club check work well lounge busy good food offering time departure completely full flight cabin sound food drink offered exception inferior quality champagne crew coped well busy quite short flight slept hour afternoon tea food good portion small early landing luggage quickly
unverified,beyond upset disgusted disregard lack knowledge lie company put call different representative lead help nothing resolved false information due longer able fly original flight called spoke someone gave new reference number could book later datedestination change name close family member pas away suddenly offered mother ticket fly funeral told could change name calling trying got told unable unless proved sending death certificate stated policy questioning wanting get false information made representative double check confirm troubling aunt uncle grieving sudden loss son cousin documentation sent email provided called get changed mother name found yet another lie cannot done change name ticket holder passed away make sense would dead challenge name change expressing feeling mistrust would taking longer wanting anything company told want allowed refund allowed book later date challenged representative speak manger told none working gone home one direct email putting formal complaint month ago still response called back use money book new flight say couldnt less amount even saying fine keep remaining money allowed book amount scam get money asking speak manager shock horror isnt one working looking status complaint said back log get eventually say lot back log complaint longer month told nothing beyond appalled hurt frustrated whole experience spreading word story every known platform review website possible till speak someone genuinely know talking come mutual agreementresolve issue information told leaf believe company doesnt care customer care money profit
verified,purchased round trip direct flight business class ticket family hong kong london day trip airline cancelled return flight without giving reason booked u flight routing via doha gave u hour layover day departure flight delayed hour result crew shortage getting flight enquired whether wed able make flight told given many passenger flight doha hong kong flight would wait arrived told flight already departed next flight available hour later wait hour get boarding pass given access lounge airport hotel flight reached make complaint ask monetary consideration given experience airline responded month paid direct flight premium seating experience overall poor
unverified,booked two business class seat medical emergency couldnt make first leg trip wanted rebook outgoing flight told entire travel cancelled cost k course know ba turned around resold return ticket
unverified,although four flight delayed service offered ba exceptional food drink offered domestic international sector extremely good attention cabin crew disorganized boarding return newark ba lounge service newark excellent overall good satisfying trip
verified,flight changed one day british airway titan flight delayed hour meal served entertainment flight changed titan way back
unverified,delayed flight hour arbitrary cancellation paid reserved seat response formal complaint explanation flight back london cancelled giving day notice reason given alternative flight offered two day later travelling son daughter
unverified,flown ba four time anxious traveller cant recommend enough constant update pilot delay cabin crew brilliant every time always use ba future
verified,may never see refund cancelled return flight sent refund pakistan told must pakistani credit card forgot used purchase flight took call admit pakistan card want mine sent someone else money calling total time month finally sent half refund told dont owe anything told owed ticket sent pakistan owe half
unverified,cargo service that felt upper deck supposedly nicer main deck business packed configuration head tail ba love configure seat make money failed enjoy business class feel like worth money liefest seat narrow lowering foot restore foot rest person aisle aisle step crawl get aisle one get couple fitful hour sleep luck seat control primitive antiquated food served bit better coach minimally wellcooked dead supposedly scottish salmon salad tough bit green id paid coach price id sort pleased business class ba continues hoover money flyer pocket minimal qualityand charge higher grade customer privilege choosing seat advance he checking newer plane traditional allfacingforward business classist many really gamble whether youll get pod business simply liefest space next many newfound friendsand awakened really time ba either reduce business class price reflect mediocre product step reallocate space normal business pod seat fleet
verified,inefficient slow airport operation resting laurel many staff standing around little terminal yet completing basic task return three time properly document check fee bad ryanair extra average somewhere easyjet ryanair presumably that there aiming
unverified,customer service one worst ever seen scheme give untruth allowed original flight technical issue end call airline could anything counter additional later booked next flight hour paid service original flight asked moved nothing happened pay service next second connecting flight sat tarmac two hour deplaned midnight without going anywhere even give u hotel spend night airport gave u flight next day london zürich three connecting flight hour gap london brussels amsterdam zürich absolute nonsense first flight delayed course missed connection would pick phone help u nothing zero help ba spend hour brussels airport sorting buying new ticket point zero response ba reimburse u planning final flight india zürich also delayed sat tarmac hour flight finally took cost
unverified,flight forced ground staff check new expensive cabin luggage despite fact met size requirement informed plane full assured staff luggage would well taken care unfortunately bag returned scratched damaged completely unacceptable especially given assurance received lodged complaint fell deaf ear acknowledgment resolution british airway funny thing overhead locker empty experience extremely frustrating disappointing lack care customer property customer service glaring
verified,british airway best outstanding service flight attendant dinner good though breakfast could better excellent if lie flat seat extremely comfortable pleasant flight board
verified,excellent flight despite hour flight configured short hop edinburgh glasgow despite if ended really enjoying flight dont know really low expectation thought crew fabulous food wine surprisingly good plane looked new perfect condition start really liked crew cheerful genuine clearly enjoying work noticed constantly friendly proactive interaction passenger food drink came around generous wine happily provided tops later flight food box deceptively small actually contained decent selection food enough keep feeling satisfied trip regular detailed update cockpit also appreciated whilst hard product flight limited service genuine enjoyment crew
verified,recently traveled british airway mixed experience booking checking booking process straightforward experience baggage counter frustrating line three employee counter took minute break processing luggage caused unnecessary delay flight flight london fine enjoyed time lounge layover despite delay connecting flight dew also fine baggage issue unfortunately luggage make onto flight dew arrived dew wednesday still received luggage customer service disappointing aspect customer service dismissive one taken responsibility provided timeline bag delivered overall flight okay baggage handling customer service horrible
verified,family booked leave london hong kong august made wait airport hour told midnight aircraft bee struck lightning flight cancelled everyone sent home scramble find transportation told wait rerouting information booked travel two day later he via middle east hour stopover needless say refused flight worst trick ba original flight booking reference deleted system therefore apply compensation additional transportation hotel meal cost cannot find word express anger much apology received
unverified,change a ba flight london missed connection flight ok process bag delayed waited day destination reading regular unhelpful update ba receiving luggage finally return airport twice pick personally one lifted hand take carousel waited month counting claim processed absolutely worst experience give year plane travel company cleverly designed website phone tree deter contact live chat guide asking want chat booking something else spite entering option asking booking take anyway like baggage carousel one attending caring least i alone judging number similar complaint terribly treat customer
